occurrenceID,basisOfRecord,scientificName,eventDate,class_,decimalLongitude,vernacularName,locality,phylum,kingdom,geodeticDatum,scientificNameAuthorship,occurrenceRemarks,family,countryCode,genus,taxonID,specificEpithet,decimalLatitude,eventID,taxonRank,order,individualCount
2020-09-18T10:03:32.316064,Human Observation,Penelope purpurascens,1600444800000,Aves,-83.009009,Pava granadera,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,9.005495,2020-09-18T10:03:28.756834,species,Galliformes,2
2020-09-18T10:03:32.536507,Human Observation,Penelope purpurascens,1600444800000,Aves,-83.009009,Pava granadera,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,9.005495,2020-09-18T10:03:30.964644,species,Galliformes,2
2020-09-18T10:03:32.655078,Human Observation,Chamaepetes unicolor,1600444800000,Aves,-83.009009,Pava negra,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"Salvin, 1867",,Cracidae,CR,Chamaepetes,000031,unicolor,9.005495,2020-09-18T10:03:28.756834,species,Galliformes,1
2020-09-18T10:03:32.836542,Human Observation,Chamaepetes unicolor,1600444800000,Aves,-83.009009,Pava negra,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"Salvin, 1867",,Cracidae,CR,Chamaepetes,000031,unicolor,9.005495,2020-09-18T10:03:30.964644,species,Galliformes,1
2020-09-23T08:17:13.407882,Human Observation,Trogon caligatus,1600787400000,Aves,-83.386852,Trogón cabecimorado,RC-01 Guadalajara,Chordata,Animalia,EPSG:4326,,cantando ,Trogonidae,CR,Trogon,000020,caligatus,9.240598,2020-09-23T08:17:11.826509,species,Trogoniformes,1
2020-09-26T16:55:00.591749,Human Observation,Trogon rufus,1601120400000,Aves,-83.386852,Trogón cabeciverde,RC-01 Guadalajara,Chordata,Animalia,EPSG:4326,"Gmelin, 1788",perchado cantando ,Trogonidae,CR,Trogon,000018,rufus,9.240598,2020-09-26T16:55:00.075745,species,Trogoniformes,1
2020-09-26T16:56:33.733109,Human Observation,Trogon massena,1601125740000,Aves,-83.386852,Trogón coliplomizo,RC-01 Guadalajara,Chordata,Animalia,EPSG:4326,"Gould, 1838",perchado cantando ,Trogonidae,CR,Trogon,000021,massena,9.240598,2020-09-26T16:56:33.275085,species,Trogoniformes,1
2020-10-03T12:12:30.619814,Human Observation,Leopardus tigrinus,1601742900000,Mammalia,-83.386852,"Oncilla, caucel",RC-01 Guadalajara,Chordata,Animalia,EPSG:4326,"(Schreber, 1775)",se dirigía hacia el este ,Felidae,CR,Leopardus,000005,tigrinus,9.240598,2020-10-03T12:12:29.598252,species,Carnivora,1
2020-10-07T14:35:36.560063,Human Observation,Cebus imitator,1601813340000,Mammalia,-83.386852,Mono cara blanca,RC-01 Guadalajara,Chordata,Animalia,EPSG:4326,"Thomas, 1903",forrajeando ,Cebidae,CR,Cebus,000013,imitator,9.240598,2020-10-07T14:35:31.522336,species,Primates,6
2020-10-07T14:35:36.716545,Human Observation,Cebus imitator,1601813340000,Mammalia,-83.386852,Mono cara blanca,RC-01 Guadalajara,Chordata,Animalia,EPSG:4326,"Thomas, 1903",forrajeando ,Cebidae,CR,Cebus,000013,imitator,9.240598,2020-10-07T14:35:35.586673,species,Primates,6
2020-10-07T14:37:19.413604,Human Observation,Crypturellus soui,1601813700000,Aves,-83.386852,"Gallina de monte, tinamú chico",RC-01 Guadalajara,Chordata,Animalia,EPSG:4326,"(Hermann, 1783)",cantando ,Tinamidae,CR,Crypturellus,000027,soui,9.240598,2020-10-07T14:37:16.627431,species,Tinamiformes,2
2020-10-07T14:43:20.821762,Human Observation,Tinamus major,1601817540000,Aves,-83.386852,"Gallina de monte, tinamú grande",RC-01 Guadalajara,Chordata,Animalia,EPSG:4326,"(J.F.Gmelin, 1789)",cantando ,Tinamidae,CR,Tinamus,000025,major,9.240598,2020-10-07T14:43:19.569098,species,Tinamiformes,1
2020-10-07T14:44:51.114163,Human Observation,Ortalis cinereiceps,1601813640000,Aves,-83.386852,"Pajuila, chachalaca cabecigrís",RC-01 Guadalajara,Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",forrajeando ,Cracidae,CR,Ortalis,000030,cinereiceps,9.240598,2020-10-07T14:44:48.758712,species,Galliformes,10
