Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S66033887,Chachalaca Cabecigrís,Ortalis cinereiceps,751,6,CR-P,,L10829508,"Jardín Ecológico El Renacer Provincia de Puntarenas, CR (9,036, -83,04)",9.0355347,-83.0403948,2020-03-21,05:58 AM,eBird - Traveling Count,52,1,.17,,1
S68662148,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-P,,L10829508,"Jardín Ecológico El Renacer Provincia de Puntarenas, CR (9,036, -83,04)",9.0355347,-83.0403948,2020-05-09,06:56 AM,eBird - Traveling Count,24,1,.12,,1
S70221164,Chachalaca Cabecigrís,Ortalis cinereiceps,751,10,CR-P,,L11654225,"La Luchita De Potrero Grande, Camino Viejo De Las Parcelas.",9.0868886,-83.1176229,2020-06-08,04:00 PM,eBird - Traveling Count,90,1,.91,,3
S59588891,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-P,,L9833814,La Luchita de Potrero Grande,9.0868886,-83.1176229,2019-09-07,01:37 PM,eBird - Traveling Count,120,1,2,,3
S60742451,Chachalaca Cabecigrís,Ortalis cinereiceps,751,7,CR-P,,L9833814,La Luchita de Potrero Grande,9.0868886,-83.1176229,2019-10-19,06:38 AM,eBird - Traveling Count,120,1,1.5,,3
S68738328,Chachalaca Cabecigrís,Ortalis cinereiceps,751,7,CR-P,,L9833814,La Luchita de Potrero Grande,9.0868886,-83.1176229,2020-05-09,03:33 PM,eBird - Traveling Count,57,1,.6,,1
S63996238,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-P,,L10464463,"La Luchita, Provincia de Puntarenas, CR (9,09, -83,119)",9.0902866,-83.1189033,2020-02-01,05:40 AM,eBird - Traveling Count,112,1,2.01,,1
S69420800,Chachalaca Cabecigrís,Ortalis cinereiceps,751,8,CR-SJ,,L10222759,"Ofic. Asecume Los Ángeles, San José, CR (9,479, -83,8)",9.4787165,-83.8004024,2020-05-18,06:08 AM,eBird - Traveling Count,33,1,1.66,,1,,,Monitoreo General
S62448447,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-SJ,,L5082706,PN Chirripó -- Entrance to the park trail,9.4693282,-83.5846522,2019-10-05,06:15 AM,eBird - Traveling Count,524,1,8.05,,5,,Grupo de 3 en bandada 
S70744272,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-SJ,,L5082706,PN Chirripó -- Entrance to the park trail,9.4693282,-83.5846522,2019-10-05,06:30 AM,eBird - Traveling Count,85,1,.6,,4,,,Ruta 7. II Conteo de Aves Valle del Chirripo
S64266633,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-P,,L10709347,"Pilón De Chánguena, Provincia de Puntarenas, CR (8,906, -83,175)",8.9061029,-83.1750237,2020-02-06,05:36 AM,eBird - Traveling Count,206,1,2,,5
